#	time	Reference	Challenge	m1	m2	count	scoreblob	scorecolor	sc1(alignment)
1	15.38	Image_1060.jpg	colorTag_0.jpg	64	252	0	0.0	0.00043177083333334476
1	15.38	Image_1060.jpg	colorTag_1.jpg	64	997	0	0.0	0.0002901041666666382
2	15.16	Image_1060.jpg	colorTag_10.jpg	64	1128	0	0.0	0.000446527777777761
3	21.22	Image_1060.jpg	colorTag_11.jpg	64	584	0	0.0	0.0004946180555555069
4	14.23	Image_1060.jpg	colorTag_12.jpg	64	389	1	0.0	0.00014774305555553813
5	14.16	Image_1060.jpg	colorTag_13.jpg	64	1755	0	0.0	0.00017638888888893423
6	21.40	Image_1060.jpg	colorTag_14.jpg	64	762	0	0.0	0.0004430555555555715
7	15.91	Image_1060.jpg	colorTag_15.jpg	64	408	0	0.0	0.00042465277777781196
8	16.64	Image_1060.jpg	colorTag_16.jpg	64	1532	1	0.0	0.00010694444444447893
9	19.28	Image_1060.jpg	colorTag_17.jpg	64	2605	1	0.0	0.00011579861111110645
10	22.15	Image_1060.jpg	colorTag_18.jpg	64	1386	0	0.0	9.392361111115743e-05
11	16.20	Image_1060.jpg	colorTag_19.jpg	64	1453	0	0.0	0.0001434027777778013
12	16.44	Image_1060.jpg	colorTag_2.jpg	64	968	0	0.0	0.0003270833333333112
13	15.74	Image_1060.jpg	colorTag_20.jpg	64	944	0	0.0	0.0004062500000000524
14	15.78	Image_1060.jpg	colorTag_21.jpg	64	1462	0	0.0	0.00011215277777776311
15	21.16	Image_1060.jpg	colorTag_22.jpg	64	439	0	0.0	6.788194444440343e-05
16	14.39	Image_1060.jpg	colorTag_23.jpg	64	583	0	0.0	0.00041041666666663534
17	14.88	Image_1060.jpg	colorTag_24.jpg	64	1611	0	0.0	0.00039739583333331385
18	20.63	Image_1060.jpg	colorTag_25.jpg	64	920	0	0.0	0.00017795138888887507
19	14.82	Image_1060.jpg	colorTag_26.jpg	64	1042	0	0.0	0.00017343749999998437
20	15.97	Image_1060.jpg	colorTag_27.jpg	64	1858	0	0.0	0.00042413194444446134
21	19.41	Image_1060.jpg	colorTag_28.jpg	64	1831	0	0.0	0.00044340277777776826
22	19.44	Image_1060.jpg	colorTag_29.jpg	64	594	0	0.0	0.00014895833333328223
23	14.81	Image_1060.jpg	colorTag_3.jpg	64	1200	1	0.0	0.0004138888888889358
24	17.42	Image_1060.jpg	colorTag_30.jpg	64	1648	0	0.0	0.0004800347222222445
25	21.00	Image_1060.jpg	colorTag_31.jpg	64	197	0	0.0	0.00039027777777778105
26	14.28	Image_1060.jpg	colorTag_32.jpg	64	1341	0	0.0	8.315972222217027e-05
27	17.95	Image_1060.jpg	colorTag_33.jpg	64	191	1	0.0	8.940972222226673e-05
28	14.09	Image_1060.jpg	colorTag_34.jpg	64	756	0	0.0	0.00040590277777774464
29	14.97	Image_1060.jpg	colorTag_35.jpg	64	1007	0	0.0	0.00039496527777782564
30	17.19	Image_1060.jpg	colorTag_36.jpg	64	104	0	0.0	6.215277777776862e-05
31	14.20	Image_1060.jpg	colorTag_37.jpg	64	10	0	0.0	0.0004230902777777601
32	14.08	Image_1060.jpg	colorTag_38.jpg	64	380	0	0.0	0.00039149305555552516
33	14.42	Image_1060.jpg	colorTag_39.jpg	64	1328	1	0.0014367816091954023	7.135416666670391e-05
34	18.11	Image_1060.jpg	colorTag_4.jpg	64	1447	0	0.0	0.0004730902777777546
35	16.75	Image_1060.jpg	colorTag_40.jpg	64	964	0	0.0	0.0005098958333333847
36	15.30	Image_1060.jpg	colorTag_41.jpg	64	1522	0	0.0	7.083333333335329e-05
37	17.69	Image_1060.jpg	colorTag_42.jpg	64	1344	0	0.0	0.0004354166666666881
38	18.19	Image_1060.jpg	colorTag_43.jpg	64	879	1	0.0021208907741251328	9.340277777780681e-05
39	15.46	Image_1060.jpg	colorTag_44.jpg	64	532	0	0.0	0.00017343749999998437
40	15.60	Image_1060.jpg	colorTag_45.jpg	64	572	0	0.0	0.00020520833333337318
41	14.84	Image_1060.jpg	colorTag_46.jpg	64	932	0	0.0	0.00010850694444441977
42	15.81	Image_1060.jpg	colorTag_47.jpg	64	2615	0	0.0	0.0003685763888888749
43	34.48	Image_1060.jpg	colorTag_48.jpg	64	1529	1	0.0	7.517361111109011e-05
44	18.39	Image_1060.jpg	colorTag_49.jpg	64	3001	0	0.0	9.079861111116472e-05
45	33.74	Image_1060.jpg	colorTag_5.jpg	64	3316	0	0.0	7.760416666668934e-05
46	38.89	Image_1060.jpg	colorTag_50.jpg	64	2	0	0.0	7.690972222218484e-05
47	14.02	Image_1060.jpg	colorTag_51.jpg	64	818	0	0.0	6.892361111110468e-05
48	16.12	Image_1060.jpg	colorTag_52.jpg	64	556	0	0.0	0.00010034722222218573
49	14.58	Image_1060.jpg	colorTag_53.jpg	64	451	0	0.0	7.135416666670391e-05
50	14.37	Image_1060.jpg	colorTag_54.jpg	64	1278	0	0.0	0.0004828125000000405
51	17.32	Image_1060.jpg	colorTag_55.jpg	64	388	0	0.0	0.0004302083333332929
52	14.46	Image_1060.jpg	colorTag_56.jpg	64	518	0	0.0	8.663194444447075e-05
53	14.87	Image_1060.jpg	colorTag_57.jpg	64	424	0	0.0	0.00010329861111113559
54	14.55	Image_1060.jpg	colorTag_58.jpg	64	1613	0	0.0	0.00015538194444442155
55	20.98	Image_1060.jpg	colorTag_59.jpg	64	755	0	0.0	0.00012708333333333321
56	14.87	Image_1060.jpg	colorTag_6.jpg	64	206	0	0.0	0.0001135416666666611
57	14.25	Image_1060.jpg	colorTag_60.jpg	64	0	0	0.0	0.00042222222222221273
58	14.04	Image_1060.jpg	colorTag_61.jpg	64	1278	0	0.0	0.0002135416666666501
59	16.60	Image_1060.jpg	colorTag_62.jpg	64	2189	0	0.0	9.496527777774766e-05
60	23.68	Image_1060.jpg	colorTag_63.jpg	64	1688	0	0.0	0.00027222222222222925
61	21.22	Image_1060.jpg	colorTag_64.jpg	64	1147	0	0.0	0.00041944444444441675
62	17.84	Image_1060.jpg	colorTag_65.jpg	64	411	0	0.0	0.0003927083333333803
63	14.77	Image_1060.jpg	colorTag_66.jpg	64	1534	0	0.0	0.00044357638888892215
64	19.36	Image_1060.jpg	colorTag_67.jpg	64	562	0	0.0	0.00011388888888885784
65	15.11	Image_1060.jpg	colorTag_68.jpg	64	1837	0	0.0	0.00016406250000000622
66	24.04	Image_1060.jpg	colorTag_69.jpg	64	1090	0	0.0	0.00010347222222217844
67	16.29	Image_1060.jpg	colorTag_7.jpg	64	879	0	0.0	0.00015694444444447342
68	15.44	Image_1060.jpg	colorTag_70.jpg	64	1048	0	0.0	0.00010277777777778496
69	15.63	Image_1060.jpg	colorTag_71.jpg	64	767	0	0.0	0.00039409722222216725
